smiles;names
C1=CC2=C(C=C1O)C(=CN2)CCN;Serotonin
CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1)C;LSD
COC1=C(CC(C)N)C=C(OC)C(SCC)=C1;ALEPH-2
COc2ccccc2CNCCc1cc(OC)c(cc1OC)C(C)C;25iP-NBOMe
CCN(CC)C(=O)[C@H]1CN([C@@H]2CC3=CN(C4=CC=CC(=C34)C2=C1)C(=O)C)C;ALD-52
CN(C)CCC1=CNC2=CC=CC=C21;N,N-Dimethyltryptamine
COc1cc(CCN)c(cc1Br)OC;2C-B
CC(N)Cc1c2occc2c(Br)c3occc13;Bromo-Dragonfly
